iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2003 4 4 0 -999 -999 -999 -999 -999 4.783 76.367 11.193 100.482 0.0 0.0 -999 319.269 -999 -999 -999 -999 -999 -999 -999
2003 4 4 30 -999 -999 -999 -999 -999 4.616 75.749 11.203 100.512 0.0 0.0 -999 309.497 -999 -999 -999 -999 -999 -999 -999
2003 4 5 0 -999 -999 -999 -999 -999 4.449 75.132 11.213 100.542 0.0 0.0 -999 299.725 -999 -999 -999 -999 -999 -999 -999
2003 4 5 30 -999 -999 -999 -999 -999 4.169 75.397 11.18 100.582 0.0 15.913 -999 304.022 -999 -999 -999 -999 -999 -999 -999
2003 4 6 0 -999 -999 -999 -999 -999 3.889 75.663 11.147 100.622 0.0 31.825 -999 308.319 -999 -999 -999 -999 -999 -999 -999
2003 4 6 30 -999 -999 -999 -999 -999 3.86 77.071 10.848 100.634 0.0 113.542 -999 307.645 -999 -999 -999 -999 -999 -999 -999
2003 4 7 0 -999 -999 -999 -999 -999 3.832 78.508 10.548 100.647 0.0 195.259 -999 306.97 -999 -999 -999 -999 -999 -999 -999
2003 4 7 30 -999 -999 -999 -999 -999 4.24 70.758 12.656 100.666 0.0 289.499 -999 305.2 -999 -999 -999 -999 -999 -999 -999
2003 4 8 0 -999 -999 -999 -999 -999 4.648 63.819 14.763 100.686 0.0 383.738 -999 303.43 -999 -999 -999 -999 -999 -999 -999
2003 4 8 30 -999 -999 -999 -999 -999 5.034 64.839 14.668 100.693 0.0 470.239 -999 307.786 -999 -999 -999 -999 -999 -999 -999
2003 4 9 0 -999 -999 -999 -999 -999 5.42 65.869 14.573 100.7 0.0 556.74 -999 312.142 -999 -999 -999 -999 -999 -999 -999
2003 4 9 30 -999 -999 -999 -999 -999 5.829 61.489 15.783 100.724 0.0 646.749 -999 314.297 -999 -999 -999 -999 -999 -999 -999
2003 4 10 0 -999 -999 -999 -999 -999 6.238 57.43 16.994 100.748 0.0 736.758 -999 316.453 -999 -999 -999 -999 -999 -999 -999
2003 4 10 30 -999 -999 -999 -999 -999 6.452 55.57 17.628 100.742 0.0 790.12 -999 316.574 -999 -999 -999 -999 -999 -999 -999
2003 4 11 0 -999 -999 -999 -999 -999 6.667 53.775 18.263 100.735 0.0 843.481 -999 316.696 -999 -999 -999 -999 -999 -999 -999
2003 4 11 30 -999 -999 -999 -999 -999 6.791 53.836 18.165 100.722 0.0 871.817 -999 316.597 -999 -999 -999 -999 -999 -999 -999
2003 4 12 0 -999 -999 -999 -999 -999 6.914 53.895 18.068 100.709 0.0 900.153 -999 316.499 -999 -999 -999 -999 -999 -999 -999
2003 4 12 30 -999 -999 -999 -999 -999 7.106 50.659 19.107 100.688 0.0 983.926 -999 315.949 -999 -999 -999 -999 -999 -999 -999
2003 4 13 0 -999 -999 -999 -999 -999 7.297 47.636 20.146 100.666 0.0 1067.699 -999 315.4 -999 -999 -999 -999 -999 -999 -999
2003 4 13 30 -999 -999 -999 -999 -999 7.402 47.599 20.03 100.648 0.0 1033.512 -999 315.768 -999 -999 -999 -999 -999 -999 -999
2003 4 14 0 -999 -999 -999 -999 -999 7.506 47.558 19.915 100.63 0.0 999.324 -999 316.137 -999 -999 -999 -999 -999 -999 -999
2003 4 14 30 -999 -999 -999 -999 -999 7.605 47.432 19.913 100.622 0.0 958.505 -999 316.916 -999 -999 -999 -999 -999 -999 -999
2003 4 15 0 -999 -999 -999 -999 -999 7.704 47.306 19.911 100.615 0.0 917.686 -999 317.696 -999 -999 -999 -999 -999 -999 -999
2003 4 15 30 -999 -999 -999 -999 -999 7.844 47.53 19.793 100.6 0.0 854.965 -999 315.452 -999 -999 -999 -999 -999 -999 -999
2003 4 16 0 -999 -999 -999 -999 -999 7.983 47.754 19.675 100.586 0.0 792.245 -999 313.208 -999 -999 -999 -999 -999 -999 -999
2003 4 16 30 -999 -999 -999 -999 -999 8.038 47.955 19.683 100.584 0.0 700.812 -999 308.829 -999 -999 -999 -999 -999 -999 -999
2003 4 17 0 -999 -999 -999 -999 -999 8.094 48.156 19.692 100.583 0.0 609.379 -999 304.45 -999 -999 -999 -999 -999 -999 -999
